,"﻿""osmid""",name,amenity,emergency,geological,historic,leisure,man_made,office,shop,sport,tourism,craft,Longitude,Latitude
352,734402,Agip,fuel,,,,,,,,,,,7.6681833,46.6906453
370,1014954,Ciné Rex,cinema,,,,,,,,,,,7.5630412,46.4929077
531,5702030,Migrol,fuel,,,,,,,,,,,7.8274119,46.6805465
532,5702071,Avia,fuel,,,,,,,,,,,7.8445587,46.6834149
653,8204263,Rhonegletscher,pub,,,,,,,,,,,8.3875803,46.577384
690,9020444,Coop,parking,,,,,,,,,,,7.5609149,46.493261
698,9332247,McDonald's,fast_food,,,,,,,,,,,7.8536248,46.6844728
867,11416078,Berghotel Schwarenbach,restaurant,,,,,,,,,hotel,,7.62506,46.4320363
3454,21734559,Hauptbahnhof,bus_station,,,,,,,,,,,9.3706009,47.4234643
4014,24963636,Central,restaurant,,,,,,,,,hotel,,8.5662067,46.6176495
4048,24977789,Arnisee,restaurant,,,,,,,,,,,8.6436726,46.7745393
4049,24977794,Lehnhof,restaurant,,,,,,,,,,,8.6449084,46.880898
4050,24977798,Tempo Libero,cafe,,,,,,,,,,,8.64486,46.8822146
4051,24977799,Apertura,pub,,,,,,,,,,,8.6244846,46.9078166
4052,24977802,Schützenhaus,pub,,,,,,,,,,,8.6646742,46.8758194
4054,24982110,Ospizo del San Gottardo,restaurant,,,,,,,,,hotel,,8.5678973,46.5553576
4164,25178423,Auchan,fuel,,,,,,,,,,,6.916483,47.6411598
4205,25179237,Station Agip Buffard,fuel,,,,,,,,,,,6.1180954,45.910102
4397,25209572,Géant Exincourt,fuel,,,,,,,,,,,6.83999,47.49764
4408,25209614,Station Total,fuel,,,,,,,,,,,6.7774657,47.4797965
4415,25209641,Relais Total Des Allueges,fuel,,,,,,,,,,,6.1177769,45.9092966
4429,25209720,Station Total Du Lac,fuel,,,,,,,,,,,6.1381739,47.6229009
4430,25209723,Station Agip,fuel,,,,,,,,,,,6.4097204,46.0654884
4454,25209833,Station Total,fuel,,,,,,,,,,,7.5556247,47.5931448
4512,25210104,Relais Total Des Trouillets,fuel,,,,,,,,,,,6.2504738,47.3198122
4657,25210812,Station Avia,fuel,,,,,,,,,,,6.0582566,47.2638204
4681,25210941,Relais Total De Diefmatten,fuel,,,,,,,,,,,7.1379505,47.7172165
4688,25210969,Station Agip,fuel,,,,,,,,,,,6.8357964,47.5125533
4689,25210972,Station Total,fuel,,,,,,,,,,,6.0051,45.81893
4785,25211723,Total Les Houches Nord,fuel,,,,,,,,,,,6.8114676,45.8983811
4809,25211876,Station Esso,fuel,,,,,,,,,,,6.1288125,47.3297012
4843,25212176,Station Bp,fuel,,,,,,,,,,,6.0703462,45.8766272
4853,25212236,Renault Deffeuille Automobiles,fuel,,,,,,,,,,,6.3343932,46.9091732
4925,25212749,Station Agip,fuel,,,,,,,,,,,6.3498406,46.9055273
4929,25212771,C. C. Auchan,fuel,,,,,,,,,,,6.0731708,45.939676
4986,25213305,Station Total Service Joanny,fuel,,,,,,,,,,,7.292941,47.7596135
4987,25213310,Station Shell,fuel,,,,,,,,,,,6.0717893,45.8761189
5083,25213755,Station Total,fuel,,,,,,,,,,,7.002,47.509
5088,25213776,Station Total,fuel,,,,,,,,,,,6.5632029,46.0613552
5204,25214316,Relais Total De Marchaux,fuel,,,,,,,,,,,6.1223194,47.3260014
5206,25214357,Station Elf,fuel,,,,,,,,,,,6.6301458,45.9448213
5242,25214550,Station Shell,fuel,,,,,,,,,,,6.4095342,46.064421
5669,25369680,Rütli,ferry_terminal,,,,,,,,,,,8.5933523,46.9704292
6168,25686849,Stansstad,ferry_terminal,,,,,,,,,,,8.3361555,46.9806919
6196,25701890,Temple de Saint-Jean,place_of_worship,,,,,,,,,,,6.1276631,46.2043867
6564,25967380,La Goutte,parking,,,,,,,,,,,6.0527832,46.3588778
6706,26023950,"St. Alban Fähre ""Wild Maa""",ferry_terminal,,,,,,,,,,,7.6023479,47.5567699
6715,26034032,Zollikon ZSG,ferry_terminal,,,,,,,,,,,8.5672752,47.3390453
6716,26034104,Horgen - Meilen,ferry_terminal,,,,,,,,,,,8.6383519,47.2676823
6717,26034121,Uetikon ZSG,ferry_terminal,,,,,,,,,,,8.6755178,47.2585032
6718,26034224,Pfäffikon SZ ZSG,ferry_terminal,,,,,,,,,,,8.7750964,47.2082534
6748,26046771,Rorschach Hafen (See),ferry_terminal,,,,,,,,,,,9.4936373,47.4789372
6758,26054764,BP,fuel,,,,,,,,,,,8.6370138,46.8840991
6759,26054765,Wilhelm Tell,restaurant,,,,,,,,,,,8.6411012,46.8826227
6760,26055227,Kellertheater im Vogelsang,theatre,,,,,,,,,,,8.6409106,46.8842207
6761,26055234,Avia-Tankstelle,fuel,,,,,,,,,,,8.6328984,46.8877285
7521,26376061,Kapelle Oberes Heiliges Kreuz,place_of_worship,,,,,,,,,,,8.6437876,46.8788488
7522,26376062,Kapuzinerkloster,place_of_worship,,,,,,,,,,,8.6439116,46.8843146
8563,26805980,Sillerenbühl,restaurant,,,,,,,,,,,7.5179532,46.4714653
8564,26806049,Aebi,pub,,,,,,,,,,,7.520732,46.4844942
10496,27125026,BP,fuel,,,,,,,,,,,8.6199008,47.4008116
11772,27515786,Froburg,restaurant,,,,,,,,,,,7.8917349,47.3826348
11922,27587744,Avia,fuel,,,,,,,,,,,8.5520439,47.3644004
11923,27587769,BP,fuel,,,,,,,,,,,8.5483154,47.3617928
11924,27587922,Storchen,ferry_terminal,,,,,,,,,,,8.541909,47.3711666
12184,28137648,Schiffbau,theatre,,,,,,,,,,,8.5191262,47.3888128
12433,28332820,Brienz Dorf,ferry_terminal,,,,,,,,,,,8.0294507,46.7539829
12982,28902729,Platz für alli,parking,,,,,,,,,,,8.6204352,47.6811792
13001,28915061,Thayngen/Bietingen,customs,,,,,,,,,,,8.7191592,47.7404278
13244,29042115,La Borne 33,parking,,,,,,,,,,,6.0046957,46.0551486
13599,29181882,Sparkasse Bodensee,bank,,,,,,,,,,,9.4935628,47.6573269
13881,29383266,Landesmuseum,ferry_terminal,,,,,,,,,,,8.5415532,47.379048
14003,29455086,Kiwi,cinema,,,,,,,,,,,8.7261242,47.4987786
14004,29455088,Kino Loge,restaurant,,,,,,,,,,,8.7313532,47.49859
14156,29531593,Hauptpost 8400 Winterthur,post_office,,,,,,,,,,,8.7245542,47.5002143
14157,29531596,Post Geiselweid,post_office,,,,,,,,,,,8.7402948,47.4945512
14213,29542818,Winterthur Wülflingen,post_office,,,,,,,,,,,8.6964036,47.5109588
14214,29542819,Post Töss,post_office,,,,,,,,,,,8.7057637,47.4916121
14216,29542821,Post Winterthur-Seen,post_office,,,,,,,,,,,8.7650711,47.4855736
14478,29687378,Bahnhof,bus_station,,,,,,,,,,,8.592761,47.412684
14630,29778648,Medienhaus am See,library,,,,,,,,,,,9.4823174,47.650213
14631,29779372,ZOB Hafenbahnhof,bus_station,,,,,,,,,,,9.4828759,47.6518658
14663,29782340,Kursaal,theatre,,,,,,,,,,,7.4485801,46.9534697
14984,29869266,Terrasse Schwellenmätteli,restaurant,,,,,,,,,,,7.4495379,46.9454627
15026,29881481,"BBZ Schaffhausen, Charlottenfels",college,,,,,,,,,,,8.6213723,47.6901804
15027,29881492,Shell,fuel,,,,,,,,,,,8.6214688,47.6861055
15028,29881496,Migrol,fuel,,,,,,,,,,,8.6093701,47.6822764
15030,29882002,8212 Neuhausen am Rheinfall 1,post_office,,,,,,,,,,,8.6200836,47.6816424
15031,29882003,8212 Neuhausen am Rheinfall 2,post_office,,,,,,,,,,,8.6062814,47.6799093
15032,29882004,Coop,fuel,,,,,,,,,,,8.6064702,47.6799675
15036,29885119,Agip,fuel,,,,,,,,,,,8.6114652,47.6866921
15037,29885121,Wegmüller,fuel,,,,,,,,,,,8.6005845,47.6773289
15038,29885122,Polizei,police,,,,,,,,,,,8.6217342,47.6807674
15074,29906979,Motier,ferry_terminal,,,,,,,,,,,7.0840547,46.9468031
15389,30010976,Schaffhauser Kantonalbank,atm,,,,,,,,,,,8.6260651,47.6999872
15542,30052334,Grandson,ferry_terminal,,,,,,,,,,,6.6430366,46.8058644
17032,30793158,Glasrecycling,recycling,,,,,,,,,,,7.5686229,47.6449314
17286,30883051,Parkhaus Gessnerallee,parking,,,,,,,,,,,8.5354153,47.3757295
17360,30916335,Luginsland,restaurant,,,,,,,,,,,7.5475386,47.7134853
17376,30939244,Argegno,ferry_terminal,,,,,,,,,,,9.1285176,45.9427926
17377,30939616,Limonta,ferry_terminal,,,,,,,,,,,9.2726271,45.9564833
17467,30985358,Friedhof Landacker,grave_yard,,,,,,,,,,,8.5991465,47.6757637
17471,30985823,Kindergarten Charlottenfels,kindergarten,,,,,,,,,,,8.6184807,47.6896456
17472,30985826,Kindergarten Rosenberg,kindergarten,,,,,,,,,,,8.6180454,47.6855858
17473,30985827,Kindergarten Waldpark,kindergarten,,,,,,,,,,,8.6052119,47.6819896
17593,31054226,Bushaltestelle Rheinhaldenstrasse,toilets,,,,,,,,,,,8.6522466,47.6921488
17854,31233403,ZKB Greifensee,bank,,,,,,,,,,,8.682226,47.368097
18592,31595600,Katholische Kirche,place_of_worship,,,,,,,,,,,7.4341581,46.9777986
18690,31721268,Cantine Di Gandria,ferry_terminal,,,,,,,,,,,9.0166686,45.9984324
18705,31737225,Kinderklinik,clinic,,,,,,,,,,,7.4857403,46.9693843
19005,32222575,Coop,fuel,,,,,,,convenience,,,,8.6828908,47.3806744
19006,32222644,Kaffee Müller,restaurant,,,,,,,,,,,9.0651077,47.0996422
19140,32413676,Stresa NLM,ferry_terminal,,,,,,,,,,,8.541713,45.8847343
19535,32606774,Kornhaus,library,,,,,,,,,,,7.4473488,46.9489837
19692,32734050,X-UFO Parkplatz Fa. Distrelec,parking,,,,,,,,,,,8.6838266,47.372331
19728,32851853,Sternen,restaurant,,,,,,,,,hotel,,9.1500322,47.117365
19729,32851854,Hirschen,restaurant,,,,,,,,,,,9.1508843,47.1169747
20912,32973676,Sternen,restaurant,,,,,,,,,,,7.4657519,46.8610506
21067,33063987,Beaulieu,restaurant,,,,,,,,,,,7.4344856,46.9512932
21069,33064267,Zum blauen Engel,restaurant,,,,,,,,,,,7.4327178,46.95452
21070,33064268,Ali Baba,restaurant,,,,,,,,,,,7.4307582,46.9539906
21071,33064271,Zebra,restaurant,,,,,,,,,,,7.4256654,46.9555974
21160,33115809,Evangelische Kirche Mollis,place_of_worship,,,,,,,,,,,9.0756332,47.0937101
21161,33115811,GLKB Näfels,bank,,,,,,,,,,,9.069551,47.0993174
21212,33127155,Burger King,fast_food,,,,,,,,,,,9.0507587,47.1378943
21386,33186645,Sekundarschule Mollis,school,,,,,,,,,,,9.0730601,47.0904668
21387,33186646,Kapelle Bruder Klaus,place_of_worship,,,,,,,,,,,8.8548478,46.867757
21625,33312504,Paroisse Catholique,place_of_worship,,,,,,,,,,,6.1655354,46.2819999
22028,33593043,Garage Jörg AG,fuel,,,,,,,,,,,9.0875692,47.1327975
22443,33854909,Evangelische Kirche,place_of_worship,,,,,,,,,,,7.5955406,47.6319371
22515,34015112,Raiffeisen,bank,,,,,,,,,,,8.9812779,47.224532
22516,34015113,St.Galler Kantonalbank,bank,,,,,,,,,,,8.9826773,47.2242764
22517,34015219,Restaurant Linth,restaurant,,,,,,,,,,,8.9820506,47.224309
22539,34026949,Agrola,fuel,,,,,,,,,,,9.0283638,47.2112768
22545,34027946,FeG Eimeldingen / G5,place_of_worship,,,,,,,,,,,7.6016476,47.6250094
22546,34027947,Sichtwerk,restaurant,,,,,,,,,,,7.6015266,47.6248627
22616,34039212,Hallenbadrestaurant Geiselweid,restaurant,,,,,,,,,,,8.7415564,47.4955184
22624,34040796,Schwimmbadrestaurant Töss,restaurant,,,,,,,,,,,8.7057375,47.4830444
24236,34227829,Sciences II & Sciences III,university,,,,,,,,,,,6.1328044,46.1981489
24571,34772310,Männedorf ZSG,ferry_terminal,,,,,,,,,,,8.6889228,47.252727
24817,35102638,Nachtschicht,pub,,,,,,,,,,,7.7278007,47.6429492
24819,35104501,shell,fuel,,,,,,,,,,,7.754132,47.6422548
24944,35199246,Spital Linth,hospital,,,,,,,,,,,8.9946474,47.2239113
24966,35244283,Haltnau,restaurant,,,,,,,,,,,9.288465,47.684266
24975,35262861,Friedhof,parking,,,,,,,,,,,7.5584215,47.7317499
24979,35287448,al eins,pub,,,,,,,,,,,9.2655822,47.6940612
25268,35578816,Am Stadtgraben,parking,,,,,,,,,,,9.272781,47.6951582
25295,35678819,Stadtkirche Uznach,place_of_worship,,,,,,,,,,,8.9861721,47.225697
25297,35678878,"Uznach, Bahnhof",bus_station,,,,,,,,,,,8.9802737,47.2245229
25300,35679672,Kindergarten Gerbi,school,,,,,,,,,,,8.9765702,47.2267081
25301,35679673,Schulhaus/Kindergarten Letzi,school,,,,,,,,,,,8.9839661,47.2250751
25302,35679674,Jugendhaus Schlössli,school,,,,,,,,,,,8.9842253,47.2253282
25369,35785747,Landgasthaus Neuhof,restaurant,,,,,,,,,,,9.0052289,47.2187634
25377,35789298,Schulhaus Büel,school,,,,,,,,,,,8.9847777,47.2262426
25529,36081565,Wanderparkplatz,parking,,,,,,,,,,,7.6522059,47.6350766
25652,36172036,Mairie des Eaux-Vives,townhall,,,,,,,,,,,6.1596662,46.2016814
25656,36174874,Caserne des Pompiers 1,fire_station,,,,,,,,,,,6.1371325,46.2002936
25693,36234790,Leopoldschule,school,,,,,,,,,,,7.6191167,47.5907458
25716,36249470,Mosquée du Petit-Saconnex,place_of_worship,,,,,,,,,,,6.1219455,46.2236216
25717,36249471,Eglise Jean XXIII,place_of_worship,,,,,,,,,,,6.1263757,46.2229088
25718,36249472,Temple du Petit-Saconnex,place_of_worship,,,,,,,,,,,6.1279559,46.2229725
25799,36312113,Marmorsaal,pub,,,,,,,,,,,9.6812139,47.5436678
25903,36420876,Poststelle 3027 Bern 27 Bethlehem,post_office,,,,,,,,,,,7.3893848,46.9472611
26191,36723336,Gasthof Schützenhaus,restaurant,,,,,,,,,,,8.966074,47.229473
26646,38904547,Joey's Coffee & Kitchen,fast_food,,,,,,,,,,,8.5309166,47.364579
26784,39768268,Sankt Josefkapelle,place_of_worship,,,,,,,,,,,8.9678124,47.2304113
26785,39768421,Primarschulhaus Ausserhirschland,school,,,,,,,,,,,8.9668886,47.2296338
26786,39787652,Heilig-Kreuz-Kirche,place_of_worship,,,,,,,,,,,8.9783103,47.2273783
26845,40251447,Mühle,parking,,,,,,,,,,,8.1337573,46.6762212
26846,40251464,Heli,parking,,,,,,,,,,,8.2014927,46.7110553
27027,41154838,Kronberg Bergstation,restaurant,,,,,,,,,,,9.3278805,47.2916227
29286,45260359,Parkplatz Sportplatz,parking,,,,,,,,,,,9.8695973,47.0926633
29327,45299442,Parkplatz Schwimmbad,parking,,,,,,,,,,,9.8688425,47.0945746
30272,46813648,Primarschule Affeltrangen,school,,,,,,,,,,,9.032954,47.5258688
30273,46813654,Kindergarten,school,,,,,,,,,,,9.0318938,47.5259712
30488,47138918,Rufana Alp,restaurant,,,,,,,,,,,9.7583553,47.1437058
30814,47744201,Kloster Fahr,monastery,,,,,,,,,,,8.4385986,47.4080614
30815,47744371,Coop,fuel,,,,,,,,,,,8.4973287,47.3995257
31290,48932886,Bahnhof Wiedikon,bus_station,,,,,,,,,,,8.523863,47.3716438
31482,49795302,Aral,fuel,,,,,,,,,,,9.1901695,47.7541134
31484,49795307,Deutsche Post,post_office,,,,,,,,,,,9.1638824,47.7650477
31485,49795311,Agip,fuel,,,,,,,,,,,9.2812057,47.6929226
31486,49795316,EDEKA,parking,,,,,,,,,,,9.2718448,47.6962267
31489,49795344,Aral,fuel,,,,,,,,,,,9.1740507,47.7715719
31490,49795346,Agip,fuel,,,,,,,,,,,9.1712839,47.7696619
31491,49795351,Kurgarten,parking,,,,,,,,,,,9.1559407,47.7678608
32010,52200182,BP Rickenbach,fuel,,,,,,,car_repair,,,,9.0534088,47.6731571
32011,52200210,Seehotel Schiff,restaurant,,,,,,,,,hotel,,9.0502968,47.6742288
32169,52741787,Shell,fuel,,,,,,,,,,,8.5094723,47.3817369
32281,53169760,Loewen,restaurant,,,,,,,,,,,9.0494867,47.6734654
32290,53208229,SanitasVital Physiotherapie,doctors,,,,,,,,,,,9.0527613,47.6732275
32380,53924334,Marienplatz Tiefgarage,parking,,,,,,,,,,,9.6133538,47.7799324
32381,53924608,Kleintierzoo,parking,,,,,,,,,,,9.6210784,47.7791588
32382,53924610,Albert--Einstein-Gymnasium,school,,,,,,,,,,,9.6201531,47.7856588
32549,54690686,Landgasthof Frohe Aussicht,restaurant,,,,,,,,,,,8.9985532,47.2263911
32580,54754446,Mürtschenstock,restaurant,,,,,,,,,,,9.1288346,47.1203291
32608,54833889,Kirche Sankt Jodokus,place_of_worship,,,,,,,,,,,8.9410207,47.2267368
32673,55275975,Pfarrei St. Georg,place_of_worship,,,,,,,,,,,9.024611,47.2139484
32678,55310884,Landgasthof Löwen,restaurant,,,,,,,,,,,9.0014181,47.2192464
32795,56213490,Hageschüür,restaurant,,,,,,,wine,,,,8.5190861,47.7134892
32875,56698073,Gemeindebibliothek Stäfa,library,,,,,,,,,,,8.7313425,47.2415699
32878,56699071,Garage Büchi AG,fuel,,,,,,,,,,,8.7356323,47.234366
32882,56877256,Hohenklingen,restaurant,,,castle,,,,,,attraction,,8.8581363,47.6669077
32883,56908436,Steinerhof,pub,,,,,,,,,,,8.8554576,47.6561926
33048,57370928,Metzg,restaurant,,,,,,,,,hotel,,8.7260424,47.2453596
33073,57558761,Grotzenbühl,restaurant,,,,,,,,,,,8.9938916,46.949129
33075,57558768,Restaurant UHU,restaurant,,,,,,,,,,,8.9890924,46.9382332
33076,57558780,Bahnhof Linthal,restaurant,,,,,,,,,hotel,,8.9975739,46.9249279
33288,59159075,Haus St. Elisabeth,restaurant,,,,,,,,,hotel,,9.1009266,47.709984
33301,59185470,AVIA,fuel,,,,,,,convenience,,,,8.7277241,47.2375916
33326,59252811,Grundschule Hegne,school,,,,,,,,,,,9.1018051,47.7098184
33329,59252819,Sparkasse,bank,,,,,,,,,,,9.1019905,47.710348
33330,59252827,MARIANUM,school,,,,,,,,,,,9.1046103,47.7078872
33437,59624426,Gasthof zum Adler,restaurant,,,,,,,,,,,8.756607,47.276489
33480,59644438,McDonald's,fast_food,,,,,,,,,,,9.727145,47.5481406
33492,59648113,Hôpital de la Tour,hospital,,,,,,,,,,,6.0674393,46.228901
33926,59988551,Kleiner Berg,restaurant,,,,,,,,,guest_house,,9.4852032,47.6538504
34011,60018172,Jet d'eau,fountain,,,,,,,,,attraction,,6.1558947,46.2073871
34063,60034667,ZKB Stäfa,bank,,,,,,,,,,,8.720257,47.2404404
34064,60034668,UBS Stäfa,bank,,,,,,,,,,,8.7189396,47.2392404
34065,60034669,Raiffeisen Stäfa,bank,,,,,,,,,,,8.7223252,47.2400507
34094,60043671,Isole di Brissago,ferry_terminal,,,,,,,,,,,8.7345619,46.1326176
34186,60084354,HES-SO Ecole d'Ingénieur de Lullier (EIL),university,,,,,,,,,,,6.2524845,46.2246553
34305,60134152,Bahnhöfliplatz,parking,,,,,,,,,,,8.7718106,47.2527221
34430,60193948,Gasthof Hirsch,restaurant,,,,,,,,,hotel,,10.2786532,47.5128244
34432,60194544,IO Cafebar,cafe,,,,,,,,,,,10.276912,47.5124149
34435,60194805,Stern Apotheke,pharmacy,,,,,,,,,,,10.2776013,47.5119111
34437,60195292,Kurhaus,toilets,,,,,,,,,,,10.372653,47.5054368
34439,60195786,Löwen,restaurant,,,,,,,,,hotel,,10.2810412,47.5123926
34448,60196695,Schulhaus Bad Oberdorf,school,,,,,,,,,,,10.385808,47.5043249
34449,60196858,Kneipp-Bad,kneipp_water_cure,,,,water_stomping,,,,,,,10.3741398,47.5014106
34451,60197553,Postbank,bank,,,,,,,,,,,10.2730771,47.5126805
34544,60228711,Hochwacht,restaurant,,,,,,,,,,,8.6756256,47.2899242
34653,60270915,IKEA,parking,,,,,,,,,,,9.3075662,47.4089892
34840,60406568,Vairochana Tempel,place_of_worship,,,,,,,,,,,9.2518604,47.5055442
34933,60467930,McDonald's,fast_food,,,,,,,,,,,9.0587185,47.0508104
34960,60474582,Zofinger-Brunnen,fountain,,,,,,,,,,,9.3782267,47.4253299
34984,60489016,Oberer Graben,parking,,,,,,,,,,,9.3746799,47.4224075
35046,60567760,Waelderhaus,fuel,,,,,,,,,,,9.8904461,47.37778
35049,60567791,Polizeiposten Bezau,police,,,,,,,,,,,9.9009735,47.3837693
35050,60567793,Raiffeisenbank,bank,,,,,,,,,,,9.9009751,47.3836042
35334,60673980,Schaffhauser Kantonalbank,atm,,,,,,,,,,,8.8595394,47.6595048
35508,60733499,Bezirksgericht Bezau,courthouse,,,,,,,,,,,9.9012074,47.3846921
35563,60770912,Kantonsspital,hospital,,,,,,,,,,,9.3877457,47.4298401
35564,60770944,Bürgerspital,hospital,,,,,,,,,,,9.3877391,47.4284099
35988,61102516,Parking des hôpitaux,parking_entrance,,,,,,,,,,,6.6451948,46.5250858
36382,63023258,Parkhaus Letzipark,parking,,,,,,,,,,,8.4976823,47.3868022
36588,65203124,RAN,fuel,,,,,,,,,,,9.4535278,47.6567871
36619,66236465,SHELL,fuel,,,,,,,,,,,9.358824,47.665555
36695,66939907,Parkhaus Stadtbahnhof,parking,,,,,,,,,,,9.4736952,47.6541232
36922,68992174,Sparkasse Bodensee,atm,,,,,,,,,,,9.4561568,47.6575996
37187,71136767,Cineplex Friedrichshafen,cinema,,,,,,,,,,,9.4820724,47.6650167
37296,71525383,Buvette Dreirosen,pub,,,,,,,,,,,7.5863581,47.5694909
37297,71525540,St. Joseph,place_of_worship,,,,,,,,,,,7.5906694,47.5696739
37299,71525550,zum Wilden Mann,restaurant,,,,,,,,,,,7.595093,47.5679494
37300,71525553,Firenze,restaurant,,,,,,,,,,,7.5944428,47.5692427
37301,71525557,Kiki Bar,pub,,,,,,,,,,,7.5941997,47.5692456
37302,71525563,Paladium,restaurant,,,,,,,,,,,7.5913551,47.5692033
37303,71525570,Senat Maki's,cafe,,,,,,,,,,,7.5938822,47.5692456
37304,71525574,Neptun,restaurant,,,,,,,,,,,7.5905324,47.5691367
37305,71525579,Brasil Bar,pub,,,,,,,,,,,7.5901309,47.5694062
37306,71525588,Pizzeria Breisacherhof,restaurant,,,,,,,,,,,7.5916214,47.5698877
37307,71525593,Mamma Enza,restaurant,,,,,,,,,,,7.5886017,47.5673398
37308,71525599,Ticino,cafe,,,,,,,,,,,7.5901833,47.567713
37309,71525604,Eintracht,restaurant,,,,,,,,,,,7.5903738,47.5675379
37310,71525611,Gatto Nero,cafe,,,,,,,,,,,7.5906834,47.5677788
37419,71895914,6800 Feldkirch,post_office,,,,,,,,,,,9.6033226,47.2414974
37420,71897599,Post,post_office,,,,,,,,,,,9.5960695,47.2374423
37426,71996501,Jägerhaus,restaurant,,,,,,,,,,,7.6679939,47.6781826
37427,71996686,Gasthaus Bruckmühle,restaurant,,,,,,,,,,,7.6450709,47.6724383
37428,72003797,Reichenfeld,parking,,,,,,,,,,,9.5943263,47.2357444
37431,72205657,BAWAG P.S.K.,bank,,,,,,,,,,,9.5960777,47.2374263
37449,72921925,Sparkasse,bank,,,,,,,,,,,9.5849294,47.2313385
37497,73124669,Migrol,fuel,,,,,,,,,,,8.4920767,47.381146
37535,73653071,Mandarin,restaurant,,,,,,,,,,,8.5297959,47.3439539
37538,73670930,Shamrock Irish Pub,pub,,,,,,,,,,,8.5303429,47.3389028
37539,73677373,Mellow Bar,pub,,,,,,,,,,,8.5298584,47.340625
37558,73704924,St. Chrischona,parking,,,,,,,,,,,7.6826405,47.5713882
37602,73916621,Buvette Kaserne,pub,,,,,,,,,,,7.5889067,47.5628147
37738,75024078,Tagesschule Neubühl,school,,,,,,,,,,,8.533236,47.3326274
37739,75025846,Il Grappolo,restaurant,,,,,,,,,,,8.5322703,47.3360918
37740,75030368,Credit Suisse,bank,,,,,,,,,,,8.5302115,47.34412
37975,75751544,Schulhaus Lee,school,,,,,,,,,,,8.5349528,47.3394844
37984,75757805,Zum Rebstock,pharmacy,,,,,,,,,,,8.7262277,47.2409751
38016,75812719,6807 Feldkirch-Tisis,post_office,,,,,,,,,,,9.5850666,47.2310321
38050,75891733,Stupa,place_of_worship,,,,,,,,,,,9.5913029,47.2303606
38054,75940582,Goldenes Fass,restaurant,,,,,,,,,,,7.5956372,47.5656669
38055,75940590,Europe,parking,,,,,,,,,,,7.5968304,47.5632757
38085,76064978,Herz-Jesu-Apotheke,pharmacy,,,,,,,,,,,9.5974849,47.2383127
38086,76066249,Stadt Apotheke,pharmacy,,,,,,,,,,,9.5951902,47.2376393
38087,76094199,Fidelis Apotheke,pharmacy,,,,,,,,,,,9.582457,47.2260358
38088,76101811,Shell,fuel,,,,,,,,,,,9.6098372,47.2467985
38090,76157491,Krankenhaus Stiftung Maria Ebene,hospital,,,,,,,,,,,9.6041389,47.2209594
38306,76832359,Mädchen- und Jungenrealschule St. Elisabeth,school,,,,,,,,,,,9.4656185,47.6537206
38573,78666910,Arkadas,fast_food,,,,,,,,,,,9.5874892,47.6695404
38574,78666931,China Schloss,restaurant,,,,,,,,,,,9.5875271,47.6695857
38575,78666948,Bäumle,restaurant,,,,,,,,,,,9.5865447,47.6700103
38576,78666970,Taverne Zorbas,restaurant,,,,,,,,,,,9.5867984,47.6706462
38703,80037206,Zürichhorn Casino,ferry_terminal,,,,,,,,,,,8.5531809,47.3519464
38712,80083045,Primarschule Neubühl,school,,,,,,,,,,,8.5326691,47.3325213
38713,80087517,Dragon Inn,restaurant,,,,,,,,,,,8.5326994,47.344132
38714,80088274,Renggergut,restaurant,,,,,,,,,,,8.5331028,47.3441844
38769,80302168,McDonald's,fast_food,,,,,,,,,,,9.486713,47.6592012
38977,81603545,OMV,fuel,,,,,,,,,,,9.5872326,47.6758967
39067,82448159,Torstuben,restaurant,,,,,,,,,,,9.5887045,47.6716603
39068,82448160,Brauerei Gasthof Krone,restaurant,,,,,,,,,,,9.5888869,47.6715415
39069,82448163,City,restaurant,,,,,,,,,,,9.5890538,47.6714394
39080,82457214,Bistro Cafe Montfort,restaurant,,,,,,,,,,,9.5874529,47.6717577
39081,82457871,il Centro,restaurant,,,,,,,,,,,9.586782,47.6708703
39082,82458027,Zur Mittelmühle,restaurant,,,,,,,,,,,9.5862697,47.6708627
39085,82462301,Keusch,fuel,,,,,,,no,,,,8.8576878,47.6556123
39086,82462303,Kofi's,fuel,,,,,,,,,,,8.8533445,47.6577964
39087,82462305,Chlosterwis,recycling,,,,,,,,,,,8.8643893,47.6603996
39088,82462598,Bären,restaurant,,,,,,,,,hotel,,9.5896483,47.6716723
39409,83214706,Gare Routiere,bus_station,,,,,,,,,,,6.6685158,46.1597781
39422,83325695,Fuechslibrunnen,drinking_water,,,,,,,,,,,8.5288207,47.335116
39430,83370553,Boom,restaurant,,,,,,,,,,,8.5292088,47.3266149
39445,83423432,Shell,fuel,,,,,,,,,,,8.5301934,47.3373646
39527,83583795,Tricolore,restaurant,,,,,,,,,,,9.4894581,47.6560944
39645,84451713,MediterRana,restaurant,,,,,,,,,,,8.5305879,47.3407413
39649,84452656,Tram Point,fast_food,,,,,,,,,,,8.530346,47.3383002
39676,84512707,BP,fuel,,,,,,,,,,,8.5175075,47.3288837
39677,84513888,Agip,fuel,,,,,,,,,,,8.5187924,47.3236594
39999,86035997,Kantonalbank,atm,,,,,,,,,,,8.2961871,47.0242016
40000,86035999,Agip,fuel,,,,,,,convenience,,,,8.2963023,47.0242031
40442,88917914,Hochwacht,restaurant,,,,,,,,,,,8.401392,47.4818124
40538,89137671,Waaghaus,restaurant,,,,,,,,,,,9.135563,47.6642834
